unique_no,sex,age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,location,offspring,orientation,pets,religion,sign,smokes,speaks,status,question1,question2,question3,question4,question5,weight
24,m,33,thin,anything,socially,sometimes,graduated from college/university,white,73,-1,artistic / musical / writer,"oakland, california",,straight,likes cats,other,scorpio,sometimes,english,single,8,6,8,10,4,70
25,m,28,fit,anything,rarely,never,graduated from college/university,asian  white,70,-1,medicine / health,"atherton, california","doesn&rsquo;t have kids, but wants them",straight,has dogs,other,gemini,no,english,single,9,8,7,7,10,59
26,m,22,fit,anything,socially,never,working on college/university,pacific islander  white,72,-1,clerical / administrative,"san francisco, california",,straight,likes dogs and dislikes cats,catholicism,leo,trying to quit,english,single,10,2,1,4,1,57
27,m,22,average,anything,socially,never,,asian,67,-1,other,"oakland, california",,straight,has dogs and dislikes cats,agnosticism,leo,no,english,single,2,5,8,1,5,83
28,m,30,fit,anything,socially,never,graduated from masters program,asian,74,-1,,"san francisco, california",,straight,likes dogs and likes cats,atheism,leo,no,"english,",single,3,2,3,10,1,75
29,m,32,fit,anything,socially,sometimes,graduated from college/university,white,68,-1,other,"san francisco, california",,straight,,agnosticism,leo,no,english,single,7,4,9,1,1,92
30,f,27,average,anything,socially,never,working on college/university,white,64,-1,other,"san francisco, california",,straight,,agnosticism,gemini,trying to quit,"english,",single,2,7,3,10,4,71
31,m,27,athletic,anything,socially,never,graduated from college/university,white,72,-1,science / tech / engineering,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,atheism,gemini,no,english,single,1,7,6,9,2,81
32,f,38,average,anything,socially,never,graduated from college/university,white,67,-1,computer / hardware / software,"san leandro, california",doesn&rsquo;t have kids,straight,,christianity,libra,no,english,single,8,6,9,2,2,84
33,f,20,average,vegetarian,socially,never,working on college/university,white,60,-1,hospitality / travel,"san rafael, california",doesn&rsquo;t want kids,straight,has dogs and likes cats,other,cancer,no,english,single,3,3,5,10,3,81
34,m,27,thin,anything,socially,never,graduated from college/university,white,69,-1,entertainment / media,"san francisco, california",,straight,likes dogs and likes cats,atheism,sagittarius,when drinking,english,single,4,9,6,1,5,52
35,m,26,athletic,anything,socially,never,,white,69,-1,banking / financial / real estate,"san francisco, california",,straight,,other,sagittarius,,"english,",single,1,4,2,2,6,63
36,m,32,athletic,anything,socially,never,graduated from college/university,white,69,-1,science / tech / engineering,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and dislikes cats,buddhism,cancer,when drinking,english,single,10,8,1,7,8,94
37,m,25,fit,anything,socially,never,working on college/university,hispanic   latin  white,69,-1,other,"oakland, california","doesn&rsquo;t have kids, but might want them",bisexual,likes dogs and likes cats,other,libra,,english,single,1,5,7,5,2,91
38,f,27,fat,anything,socially,never,,hispanic   latin  white,63,-1,entertainment / media,"walnut creek, california",,straight,,other,libra,,english,single,2,10,1,10,5,91
39,m,35,fit,anything,socially,never,graduated from college/university,white,74,-1,computer / hardware / software,"san rafael, california",,straight,,other,libra,no,english,single,7,3,9,8,2,50
40,m,30,average,anything,often,never,graduated from masters program,white,76,-1,computer / hardware / software,"menlo park, california",doesn&rsquo;t have kids,straight,likes cats,agnosticism,libra,no,english,single,6,10,10,10,7,52
41,m,35,athletic,anything,socially,never,graduated from college/university,black  white,72,-1,,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,,agnosticism,pisces,no,english,single,9,1,1,4,3,72
42,m,30,average,anything,often,sometimes,graduated from masters program,white,75,-1,artistic / musical / writer,"berkeley, california",,straight,,other,gemini,no,"english,",single,4,5,3,3,1,88
43,m,40,fit,anything,socially,never,graduated from college/university,white,71,60000,construction / craftsmanship,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,agnosticism,gemini,no,english,single,2,9,9,7,10,54
44,f,29,fat,anything,socially,sometimes,graduated from masters program,white,66,-1,other,"san francisco, california",doesn&rsquo;t have kids,bisexual,has cats,other,aquarius,no,"english,",single,8,3,5,6,2,93
45,m,27,average,anything,socially,never,college/university,pacific islander,69,-1,education / academia,"oakland, california",doesn&rsquo;t have kids,straight,,catholicism,aquarius,,english,single,2,7,1,7,9,68
46,m,27,athletic,anything,socially,never,graduated from masters program,pacific islander,73,-1,,"san francisco, california",,straight,,other,aquarius,,english,single,10,4,4,5,3,80
47,m,28,average,anything,often,sometimes,,white,70,-1,artistic / musical / writer,"san francisco, california",doesn&rsquo;t have kids,straight,,agnosticism,libra,no,english,single,3,3,3,2,4,95
48,f,31,thin,anything,socially,sometimes,dropped out of space camp,white,67,1000000,artistic / musical / writer,"san francisco, california",doesn&rsquo;t have kids,bisexual,,other,libra,no,english,single,9,6,1,2,4,83
49,f,26,athletic,anything,socially,never,graduated from college/university,white,66,-1,science / tech / engineering,"belmont, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,taurus,no,english,single,6,3,7,4,6,99
50,f,33,fit,anything,often,sometimes,graduated from college/university,white,66,-1,artistic / musical / writer,"oakland, california",,gay,,other,taurus,no,english,single,2,7,1,2,3,76
51,f,38,athletic,anything,socially,never,graduated from college/university,white,65,-1,,"oakland, california",wants kids,gay,likes dogs,other,taurus,no,english,single,5,8,10,8,1,85
52,m,31,average,anything,socially,never,graduated from college/university,white,69,-1,science / tech / engineering,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism,gemini,no,"english,",single,3,5,3,4,6,77
53,m,36,athletic,anything,socially,never,graduated from college/university,asian  native american,69,-1,computer / hardware / software,"oakland, california",,straight,has dogs,other,gemini,,english,single,10,3,6,7,2,70
54,m,33,fit,anything,rarely,never,graduated from college/university,white,69,-1,computer / hardware / software,"menlo park, california",,straight,likes dogs and likes cats,atheism,gemini,no,english,single,2,7,10,10,2,88
55,m,33,athletic,anything,socially,never,graduated from college/university,white,70,-1,medicine / health,"san francisco, california",doesn&rsquo;t have kids,gay,likes dogs and has cats,other,pisces,no,"english,",single,8,2,4,9,1,92
56,m,26,fit,anything,socially,never,working on college/university,white,71,-1,student,"berkeley, california",,straight,,atheism,sagittarius,no,english,single,4,1,5,3,5,51
57,m,21,thin,anything,socially,never,working on college/university,white,72,-1,computer / hardware / software,"san francisco, california",,straight,,buddhism,sagittarius,when drinking,english,single,4,9,1,9,9,95
58,m,22,fit,anything,socially,sometimes,working on college/university,hispanic   latin  white,70,-1,student,"san francisco, california",,straight,has dogs and has cats,agnosticism,pisces,sometimes,english,single,7,4,6,3,2,63
59,m,31,average,anything,socially,never,graduated from college/university,hispanic   latin  white,71,-1,,"san francisco, california",,straight,likes dogs and likes cats,agnosticism,libra,when drinking,english,single,1,10,2,2,1,65
60,m,31,fit,anything,socially,never,working on college/university,asian  pacific islander,67,-1,computer / hardware / software,"san francisco, california",,straight,likes dogs and dislikes cats,catholicism,gemini,no,"english,",seeing someone,9,3,10,10,3,55
61,m,35,thin,vegetarian,socially,never,,white,75,-1,other,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,cancer,no,"english,",single,5,3,10,3,4,62
62,m,31,thin,anything,socially,sometimes,graduated from masters program,white,70,-1,rather not say,"san francisco, california",doesn&rsquo;t have kids,straight,,agnosticism,cancer,when drinking,english,single,7,8,2,4,9,54
63,f,28,fat,vegetarian,socially,never,working on masters program,white,67,-1,education / academia,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,other,gemini,sometimes,"english,",single,6,4,1,5,6,56
64,m,28,athletic,anything,socially,never,graduated from college/university,hispanic   latin,72,-1,political / government,"san francisco, california",doesn&rsquo;t have kids,straight,,other,virgo,no,english,single,10,2,6,6,7,84
65,m,29,fit,vegetarian,socially,never,graduated from ph.d program,white,68,-1,science / tech / engineering,"san francisco, california",doesn&rsquo;t have kids,straight,,judaism,virgo,no,"english,",single,4,2,7,7,1,89
66,m,22,athletic,anything,rarely,never,working on college/university,asian,65,20000,education / academia,"san jose, california",,straight,,buddhism,virgo,no,english,single,4,2,7,7,1,73
67,f,30,thin,anything,rarely,sometimes,working on college/university,black  native american  white,66,-1,student,"san francisco, california",,straight,likes dogs and has cats,other,aries,sometimes,english,single,6,1,10,10,9,83
68,f,31,average,anything,socially,never,,middle eastern  other,69,-1,medicine / health,"palo alto, california",doesn&rsquo;t want kids,bisexual,likes dogs and likes cats,other,virgo,sometimes,english,single,3,3,2,10,6,94
69,m,29,thin,anything,socially,sometimes,working on masters program,white,76,-1,other,"berkeley, california",,gay,likes dogs and likes cats,agnosticism,scorpio,no,english,single,10,3,5,8,5,95
70,f,25,thin,anything,rarely,never,graduated from college/university,white,62,-1,science / tech / engineering,"belmont, california",,straight,,other,pisces,no,english,single,1,2,3,1,6,91
71,f,33,athletic,anything,socially,never,graduated from college/university,white,67,-1,entertainment / media,"san francisco, california",,straight,likes dogs,other,gemini,no,"english,",single,10,8,8,3,4,51
72,m,35,athletic,anything,socially,sometimes,graduated from space camp,native american  white,73,150000,artistic / musical / writer,"emeryville, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism,pisces,no,english,single,6,9,6,10,4,85
73,f,31,fat,anything,socially,never,graduated from law school,indian,61,50000,law / legal services,"oakland, california","doesn&rsquo;t have kids, but might want them",straight,,hinduism,libra,no,english,single,5,2,1,6,2,78
74,m,28,fit,anything,socially,never,graduated from masters program,white,72,-1,education / academia,"oakland, california",,straight,likes dogs and has cats,other,sagittarius,,english,single,6,3,10,3,10,84
75,f,29,fat,vegetarian,socially,never,graduated from college/university,white,67,-1,rather not say,"oakland, california",doesn&rsquo;t have kids,bisexual,,other,gemini,,english,available,3,5,5,8,2,94
76,m,26,fit,anything,often,sometimes,working on ph.d program,white,72,-1,,"berkeley, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,agnosticism,capricorn,no,english,single,7,3,7,5,10,80
77,f,25,fat,anything,socially,never,working on college/university,white,65,-1,other,"san francisco, california",,bisexual,likes dogs and has cats,agnosticism,leo,no,english,seeing someone,3,5,9,6,10,79
78,f,34,fat,anything,socially,never,graduated from college/university,white,67,-1,sales / marketing / biz dev,"san francisco, california",doesn&rsquo;t have kids,straight,,agnosticism,leo,no,"english,",single,1,6,6,1,10,96
79,m,21,fit,anything,rarely,never,working on college/university,white,71,20000,entertainment / media,"san francisco, california",,straight,likes dogs and likes cats,catholicism,leo,no,english,single,4,7,4,3,7,58
80,f,28,thin,anything,often,never,graduated from masters program,white,67,-1,executive / management,"san francisco, california",doesn&rsquo;t have kids,straight,,atheism,cancer,no,english,single,9,4,2,4,6,57
81,m,31,average,anything,socially,never,graduated from masters program,white,69,-1,,"san francisco, california",,gay,likes dogs and likes cats,atheism,cancer,no,"english,",single,7,3,1,7,2,95
82,m,34,fit,anything,socially,never,graduated from masters program,white,69,100000,executive / management,"san francisco, california",,straight,likes dogs and has cats,agnosticism,cancer,no,"english,",single,6,6,2,7,2,55
83,f,32,average,anything,socially,never,graduated from college/university,asian  white,64,-1,science / tech / engineering,"san francisco, california",,gay,likes dogs and likes cats,other,pisces,no,english,single,8,4,10,8,10,79
84,m,30,athletic,anything,socially,never,graduated from college/university,asian  white,73,-1,science / tech / engineering,"san francisco, california",,straight,likes dogs,other,gemini,no,english,single,10,7,3,4,2,94
85,m,28,average,anything,socially,never,graduated from college/university,white,68,-1,,"palo alto, california",,straight,likes cats,atheism,scorpio,no,english,single,1,6,10,1,8,69
86,f,40,fit,anything,socially,never,college/university,white,66,-1,,"san francisco, california",,straight,likes dogs and likes cats,other,taurus,no,english,single,9,1,4,1,10,65
87,f,27,fat,anything,often,never,graduated from college/university,white,61,-1,sales / marketing / biz dev,"san francisco, california",,straight,,other,aries,no,"english,",single,5,2,7,10,4,81
88,m,43,fat,anything,socially,never,two-year college,white,71,-1,law / legal services,"oakland, california",doesn&rsquo;t have kids,straight,,other,aries,no,"english,",single,5,4,5,8,10,73
89,f,37,average,anything,socially,never,graduated from college/university,white,64,-1,,"san francisco, california",,straight,likes dogs and has cats,other,aries,no,english,single,3,4,4,7,7,56
90,m,24,average,anything,socially,never,graduated from college/university,black,74,-1,sales / marketing / biz dev,"san francisco, california",,straight,,other,cancer,yes,english,single,1,5,4,5,5,92
91,m,29,average,anything,socially,never,graduated from college/university,white,74,-1,science / tech / engineering,"san rafael, california",,straight,,catholicism,scorpio,,english,single,8,7,2,3,6,77
92,f,29,fat,anything,socially,sometimes,graduated from two-year college,white,67,50000,medicine / health,"el granada, california",,straight,,other,capricorn,,english,available,8,8,7,9,10,68
93,m,28,fit,vegetarian,socially,never,graduated from college/university,hispanic   latin  white,69,-1,computer / hardware / software,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,other,leo,no,english,single,4,4,9,4,1,54
94,m,29,fit,anything,socially,sometimes,graduated from college/university,white,67,40000,artistic / musical / writer,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,agnosticism,libra,no,english,single,1,10,3,6,2,61
95,m,25,athletic,anything,socially,never,graduated from college/university,white,78,80000,sales / marketing / biz dev,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,catholicism,aries,no,english,single,7,10,1,6,5,95
96,m,34,thin,other,very often,never,dropped out of space camp,white,75,-1,hospitality / travel,"san francisco, california",,straight,likes dogs and has cats,other,aries,no,english,single,1,2,8,2,2,93
97,m,39,fit,anything,socially,never,graduated from college/university,asian,70,-1,other,"san francisco, california",doesn&rsquo;t have kids,straight,,agnosticism,aries,no,"english,",single,1,9,5,6,10,83
98,f,31,fat,anything,socially,sometimes,graduated from masters program,white,66,-1,executive / management,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,atheism,pisces,no,english,single,2,9,5,7,5,64
99,m,46,average,anything,socially,never,,black,72,-1,construction / craftsmanship,"castro valley, california",has a kid,straight,,christianity,taurus,no,english,single,5,10,7,5,2,69
100,m,38,thin,anything,socially,never,working on masters program,white,71,-1,education / academia,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,,other,aquarius,no,english,single,5,6,9,7,8,92
101,m,30,fit,anything,socially,never,graduated from college/university,white,68,-1,banking / financial / real estate,"daly city, california",,straight,,other,aquarius,no,english,single,2,2,4,2,4,94
102,m,41,athletic,anything,socially,often,working on space camp,white,69,1000000,education / academia,"fairfax, california",,straight,,agnosticism,libra,no,english,single,7,2,6,3,4,93
103,m,39,athletic,other,socially,sometimes,,white,70,100000,computer / hardware / software,"san francisco, california",,straight,likes dogs,atheism,leo,no,english,single,3,5,2,5,3,68
104,f,31,thin,anything,socially,never,graduated from masters program,white,63,-1,other,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,other,scorpio,no,english,single,6,9,7,6,7,82
105,f,42,fit,anything,socially,never,graduated from masters program,white,65,-1,education / academia,"mountain view, california",has kids,straight,likes dogs,judaism,aries,no,english,single,8,1,3,1,6,70
106,f,45,fit,anything,socially,never,graduated from masters program,asian,64,-1,executive / management,"menlo park, california",doesn&rsquo;t have kids,straight,likes dogs,agnosticism,aries,no,english,single,8,5,8,8,5,52
107,m,21,athletic,anything,rarely,never,working on med school,white,72,500000,medicine / health,"burlingame, california",,straight,has dogs,other,aries,no,english,single,7,2,2,6,1,68
108,f,28,athletic,anything,socially,never,graduated from law school,pacific islander,64,-1,law / legal services,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,other,aries,no,english,single,8,5,1,8,5,59
109,m,29,fit,anything,socially,never,graduated from college/university,white,66,-1,other,"martinez, california",doesn&rsquo;t have kids,straight,,christianity,aries,no,english,single,2,7,3,6,5,91
110,m,36,average,anything,socially,never,graduated from masters program,white,68,-1,education / academia,"san francisco, california",,straight,,other,virgo,no,"english,",single,5,5,5,9,3,61
111,m,28,athletic,anything,socially,never,graduated from college/university,white,71,-1,education / academia,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs,agnosticism,virgo,no,english,single,10,9,3,1,10,98
112,m,24,athletic,anything,socially,never,,black  native american  hispanic   latin  other,74,-1,,"oakland, california",,straight,,other,virgo,,english,single,6,5,7,6,3,51
113,f,23,fat,anything,rarely,never,working on college/university,black  native american  hispanic   latin,66,20000,other,"san francisco, california",has a kid,straight,likes dogs and likes cats,other,capricorn,when drinking,english,single,10,5,3,2,8,52
114,m,36,fit,anything,often,sometimes,graduated from ph.d program,white,70,-1,science / tech / engineering,"emeryville, california",,straight,likes dogs and likes cats,agnosticism,aries,no,english,seeing someone,3,1,9,3,1,80
115,m,35,thin,anything,socially,never,,white,72,-1,,"pleasant hill, california",,straight,,atheism,aquarius,when drinking,english,single,5,4,9,1,1,57
116,m,18,thin,anything,socially,never,,asian  black  pacific islander,68,-1,,"hayward, california",,straight,,other,aquarius,,english,single,9,9,10,5,9,93
117,m,55,athletic,anything,not at all,never,dropped out of college/university,white,67,-1,construction / craftsmanship,"alameda, california",has kids,straight,likes dogs and likes cats,other,leo,no,english,single,3,6,7,5,10,64
118,f,21,average,vegetarian,not at all,never,working on space camp,white  other,65,-1,,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,capricorn,no,english,single,8,5,3,3,1,51
119,f,28,thin,anything,socially,never,working on college/university,white,66,-1,student,"berkeley, california",,straight,likes dogs and likes cats,other,scorpio,no,english,seeing someone,6,9,3,2,8,74
120,m,24,average,anything,socially,never,graduated from college/university,white,71,-1,computer / hardware / software,"san francisco, california",,straight,has cats,atheism,aquarius,no,"english,",single,7,9,2,9,3,96
121,m,50,fit,anything,socially,never,graduated from two-year college,white,75,-1,unemployed,"vallejo, california",has kids,straight,dislikes dogs and has cats,christianity,gemini,no,english,single,7,1,2,2,5,75
122,m,23,athletic,anything,socially,sometimes,graduated from space camp,white,66,-1,artistic / musical / writer,"san francisco, california",,straight,likes dogs and likes cats,other,cancer,trying to quit,english,single,7,3,2,5,8,61
123,m,21,thin,anything,socially,often,working on space camp,hispanic   latin  white,70,1000000,medicine / health,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs,atheism,sagittarius,sometimes,english,single,7,6,7,3,10,75
124,f,27,fat,anything,socially,never,graduated from college/university,white,62,-1,medicine / health,"san francisco, california",,bisexual,,other,aries,no,english,single,3,6,6,4,7,96
125,m,27,fit,anything,socially,never,graduated from college/university,asian,68,150000,science / tech / engineering,"san francisco, california",,straight,likes dogs and likes cats,agnosticism,aries,no,english,single,5,10,10,2,2,81
126,m,43,average,anything,socially,never,graduated from college/university,white,73,-1,science / tech / engineering,"emeryville, california",,straight,,other,virgo,no,"english,",single,8,6,1,2,6,81
127,m,27,fit,anything,socially,never,graduated from college/university,asian,68,150000,other,"san francisco, california",,straight,likes dogs and likes cats,agnosticism,virgo,no,english,available,8,8,2,9,9,80
128,m,26,average,anything,often,never,dropped out of space camp,white,71,-1,computer / hardware / software,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,atheism,libra,trying to quit,english,single,2,10,7,9,3,77
129,m,26,average,anything,rarely,never,graduated from college/university,white,66,-1,computer / hardware / software,"menlo park, california",doesn&rsquo;t want kids,straight,,atheism,libra,no,english,available,7,9,4,5,7,71
130,m,30,average,anything,socially,sometimes,dropped out of college/university,white,69,-1,,"san francisco, california",,straight,likes cats,agnosticism,gemini,yes,english,available,3,6,1,6,2,95
131,f,32,fat,vegetarian,socially,never,working on space camp,white,68,-1,,"berkeley, california",,straight,has dogs,other,leo,trying to quit,english,seeing someone,5,6,9,4,6,64
132,f,43,fat,vegetarian,socially,never,graduated from masters program,white,68,-1,artistic / musical / writer,"san francisco, california",,bisexual,likes dogs and has cats,other,libra,no,"english,",single,8,1,6,2,9,92
133,f,39,average,anything,rarely,never,graduated from masters program,white,68,-1,education / academia,"san francisco, california",,straight,has dogs,other,libra,no,english,single,8,2,5,10,5,89
134,m,22,athletic,anything,socially,never,working on ph.d program,white,68,-1,student,"berkeley, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism,libra,no,english,single,5,10,6,3,1,70
135,f,33,athletic,anything,socially,never,graduated from college/university,white,67,-1,hospitality / travel,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,,other,libra,no,english,single,1,7,2,6,3,84
136,m,24,thin,vegan,socially,never,working on college/university,white,75,-1,,"berkeley, california",doesn&rsquo;t have kids,straight,likes cats,atheism,sagittarius,when drinking,english,single,10,4,10,6,9,74
137,m,50,average,anything,often,never,college/university,white,73,80000,transportation,"benicia, california",doesn&rsquo;t want kids,straight,has cats,other,libra,no,english,single,6,8,6,7,8,93
138,m,32,average,anything,not at all,never,graduated from college/university,asian,67,-1,science / tech / engineering,"oakland, california",,straight,likes dogs,other,cancer,no,english,seeing someone,1,10,6,8,8,86
139,m,23,athletic,anything,rarely,never,working on college/university,white,73,-1,military,"castro valley, california","doesn&rsquo;t have kids, but might want them",straight,,other,cancer,no,english,single,2,7,2,7,1,66
140,f,32,fit,anything,socially,never,graduated from college/university,white,62,-1,other,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,,buddhism,pisces,no,english,single,8,7,6,7,9,60
141,m,59,fit,anything,socially,never,graduated from masters program,white,73,80000,other,"daly city, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,other,libra,no,english,single,3,4,2,2,9,50
142,m,36,fit,anything,often,sometimes,graduated from college/university,white,73,-1,construction / craftsmanship,"oakland, california",,straight,likes dogs and likes cats,other,taurus,no,"english,",single,8,3,6,2,10,83
143,m,29,athletic,anything,socially,never,college/university,white,74,-1,,"oakland, california",doesn&rsquo;t have kids,straight,,agnosticism,taurus,no,english,single,9,4,8,2,6,50
144,f,39,fit,anything,socially,never,graduated from masters program,white,63,-1,,"berkeley, california",has kids,straight,,other,leo,no,english,single,5,2,8,9,8,72
145,m,24,thin,anything,socially,never,graduated from college/university,hispanic   latin  white,67,60000,computer / hardware / software,"san francisco, california",,straight,likes dogs and likes cats,catholicism,scorpio,no,english,single,6,3,7,8,1,87
146,m,28,average,anything,desperately,often,,asian,70,-1,,"el cerrito, california",doesn&rsquo;t have kids,straight,,atheism,sagittarius,yes,english,single,9,5,10,2,10,54
147,m,50,athletic,anything,socially,never,college/university,asian,66,80000,construction / craftsmanship,"vallejo, california",has kids,straight,likes dogs and dislikes cats,other,sagittarius,no,english,single,5,1,3,7,8,81
148,f,32,fit,anything,socially,never,graduated from college/university,white,64,-1,student,"menlo park, california",,straight,likes dogs,judaism,sagittarius,no,english,single,8,10,2,5,5,56
149,f,41,fit,anything,socially,never,college/university,white,67,-1,transportation,"mill valley, california",,straight,likes dogs and likes cats,other,cancer,no,english,single,1,2,4,1,7,85
150,f,50,thin,vegetarian,socially,never,graduated from masters program,asian  middle eastern  black  native american  indian  pacific islander  hispanic   latin  white  other,63,-1,education / academia,"san francisco, california",has kids,straight,likes dogs,atheism,cancer,no,"english,",single,2,4,4,4,9,89
151,m,44,thin,anything,socially,never,graduated from college/university,white,68,-1,computer / hardware / software,"san francisco, california",,straight,has dogs and likes cats,catholicism,leo,no,english,single,9,8,8,9,9,92
152,m,48,average,anything,socially,never,graduated from college/university,white,68,-1,artistic / musical / writer,"oakland, california",doesn&rsquo;t want kids,straight,has dogs and has cats,other,aquarius,no,english,single,10,2,7,6,3,62
